"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Aug 08 2008","2454687","239889601","124.45","6.39e-8","1.48e-8","-1.54","-","100.24","1e-8","0","bin1.log"
"Aug 15 2008","2454694","240494401","190.05","9.26e-8","1.62e-8","-1.54","-","93.59","1e-8","0","bin2.log"
"Aug 22 2008","2454701","241099201","156.12","7.44e-8","1.37e-8","-1.54","-","87.07","1e-8","0","bin3.log"
"Aug 29 2008","2454708","241704001","135.03","6.56e-8","1.26e-8","-1.54","-","80.68","1e-8","0","bin4.log"
"Sep 05 2008","2454715","242308801","108.55","5.20e-8","1.15e-8","-1.54","-","74.42","1e-8","0","bin5.log"
"Sep 12 2008","2454722","242913601","119.75","4.71e-8","1.17e-8","-1.54","-","68.29","1e-8","0","bin6.log"
"Sep 19 2008","2454729","243518401","69.4","5.03e-8","1.48e-8","-1.54","-","62.26","1e-8","0","bin7.log"
"Sep 26 2008","2454736","244123201","47.51","5.46e-8","1.60e-8","-1.54","-","56.34","1e-8","0","bin8.log"
"Oct 03 2008","2454743","244728001","108.95","6.32e-8","1.51e-8","-1.54","-","50.51","1e-8","0","bin9.log"
"Oct 10 2008","2454750","245332801","156.85","6.32e-8","1.26e-8","-1.54","-","44.77","1e-8","0","bin10.log"
"Oct 24 2008","2454764","246542401","94.38","4.97e-8","1.17e-8","-1.54","-","33.60","1e-8","0","bin12.log"
"Oct 31 2008","2454771","247147201","112.65","5.82e-8","1.25e-8","-1.54","-","28.27","1e-8","0","bin13.log"
"Nov 07 2008","2454778","247752001","149.11","7.81e-8","1.57e-8","-1.54","-","23.30","1e-8","0","bin14.log"
"Nov 14 2008","2454785","248356801","168.74","8.72e-8","1.80e-8","-1.54","-","19.10","1e-8","0","bin15.log"
"Nov 21 2008","2454792","248961601","75.78","5.88e-8","1.58e-8","-1.54","-","16.41","1e-8","0","bin16.log"
"Nov 28 2008","2454799","249566401","71.42","5.68e-8","1.41e-8","-1.54","-","16.23","1e-8","0","bin17.log"
"Dec 05 2008","2454806","250171201","180.42","6.20e-8","1.24e-8","-1.54","-","18.83","1e-8","0","bin18.log"
"Dec 12 2008","2454813","250776001","182.85","7.13e-8","1.35e-8","-1.54","-","23.45","1e-8","0","bin19.log"
"Dec 19 2008","2454820","251380801","135.11","5.61e-8","1.18e-8","-1.54","-","29.27","1e-8","0","bin20.log"
"Dec 26 2008","2454827","251985601","143.41","6.74e-8","1.37e-8","-1.54","-","35.77","1e-8","0","bin21.log"
"Jan 02 2009","2454833.999988426","252590401","80.18","6.10e-8","1.50e-8","-1.54","-","42.67","1e-8","0","bin22.log"
"Jan 09 2009","2454840.999988426","253195201","52.48","3.81e-8","1.29e-8","-1.54","-","49.80","1e-8","0","bin23.log"
"Jan 16 2009","2454847.999988426","253800001","77.4","4.78e-8","1.33e-8","-1.54","-","57.06","1e-8","0","bin24.log"
"Jan 23 2009","2454854.999988426","254404801","64.38","3.85e-8","1.04e-8","-1.54","-","64.36","1e-8","0","bin25.log"
"Jan 30 2009","2454861.999988426","255009601","35.07","2.42e-8","9.00e-9","-1.54","-","71.65","1e-8","0","bin26.log"
"Feb 06 2009","2454868.999988426","255614401","64.19","3.69e-8","1.05e-8","-1.54","-","78.89","1e-8","0","bin27.log"
"Feb 13 2009","2454875.999988426","256219201","162.25","4.85e-8","1.10e-8","-1.54","-","86.05","1e-8","0","bin28.log"
"Feb 20 2009","2454882.999988426","256824001","82.16","3.57e-8","1.04e-8","-1.54","-","93.12","1e-8","0","bin29.log"
"Feb 27 2009","2454889.999988426","257428801","25.88","2.61e-8","1.13e-8","-1.54","-","100.09","1e-8","0","bin30.log"
"Mar 06 2009","2454896.999988426","258033601","61.83","4.35e-8","1.37e-8","-1.54","-","106.96","1e-8","0","bin31.log"
"Mar 13 2009","2454903.999988426","258638401","4.01","1.79e-8","1.30e-8","-1.54","-","113.73","1e-8","0","bin32.log"
"Mar 20 2009","2454910.999988426","259243201","22.1","1.98e-8","8.10e-9","-1.54","-","120.43","1e-8","0","bin33.log"
"Mar 27 2009","2454917.999988426","259848001","59.37","3.61e-8","1.08e-8","-1.54","-","127.06","1e-8","0","bin34.log"
"Apr 03 2009","2454924.999988426","260452801","114.88","5.42e-8","1.18e-8","-1.54","-","133.63","1e-8","0","bin35.log"
"Apr 10 2009","2454931.999988426","261057601","28.96","2.68e-8","9.60e-9","-1.54","-","140.18","1e-8","0","bin36.log"
"Apr 17 2009","2454938.999988426","261662401","18.56","2.44e-8","1.04e-8","-1.54","-","146.70","1e-8","0","bin37.log"
"Apr 24 2009","2454945.999988426","262267201","16.23","8.16e-9","5.70e-9","-1.54","-","153.22","1e-8","0","bin38.log"
"May 01 2009","2454952.999988426","262872001","47.11","4.55e-8","1.42e-8","-1.54","-","159.72","1e-8","0","bin39.log"
"May 08 2009","2454959.999988426","263476801","55.34","3.44e-8","1.09e-8","-1.54","-","166.15","1e-8","0","bin40.log"
"May 15 2009","2454966.999988426","264081601","89.89","4.34e-8","1.19e-8","-1.54","-","172.17","1e-8","0","bin41.log"
"May 22 2009","2454973.999988426","264686401","57.19","2.93e-8","9.30e-9","-1.54","-","175.22","1e-8","0","bin42.log"
"May 29 2009","2454980.999988426","265291201","70.67","4.20e-8","1.10e-8","-1.54","-","171.06","1e-8","0","bin43.log"
"Jun 05 2009","2454987.999988426","265896001","72.92","3.67e-8","1.07e-8","-1.54","-","164.62","1e-8","0","bin44.log"
"Jun 12 2009","2454994.999988426","266500801","35.21","2.76e-8","1.09e-8","-1.54","-","157.74","1e-8","0","bin45.log"
"Jun 19 2009","2455001.999988426","267105601","72.47","5.12e-8","1.50e-8","-1.54","-","150.70","1e-8","0","bin46.log"
"Jun 26 2009","2455008.999988426","267710401","11.69","2.56e-8","1.22e-8","-1.54","-","143.57","1e-8","0","bin47.log"
"Jul 03 2009","2455015.999988426","268315201","65.43","3.90e-8","1.14e-8","-1.54","-","136.41","1e-8","0","bin48.log"
"Jul 10 2009","2455022.999988426","268920001","82.03","3.38e-8","9.60e-9","-1.54","-","129.27","1e-8","0","bin49.log"
"Jul 17 2009","2455029.999988426","269524801","102.36","4.78e-8","1.14e-8","-1.54","-","122.18","1e-8","0","bin50.log"
"Jul 24 2009","2455036.999988426","270129601","81.92","4.63e-8","1.16e-8","-1.54","-","115.16","1e-8","0","bin51.log"
"Jul 31 2009","2455043.999988426","270734401","19.64","1.55e-8","7.88e-9","-1.54","-","108.24","1e-8","0","bin52.log"
"Aug 07 2009","2455050.999988426","271339201","32.06","3.27e-8","1.19e-8","-1.54","-","101.44","1e-8","0","bin53.log"
"Aug 14 2009","2455057.999988426","271944001","40.44","3.24e-8","1.20e-8","-1.54","-","94.76","1e-8","0","bin54.log"
"Aug 21 2009","2455064.999988426","272548801","61.74","3.90e-8","1.20e-8","-1.54","-","88.22","1e-8","0","bin55.log"
"Aug 28 2009","2455071.999988426","273153601","49.42","3.22e-8","1.07e-8","-1.54","-","81.80","1e-8","0","bin56.log"
"Sep 04 2009","2455078.999988426","273758401","31.38","3.34e-8","1.15e-8","-1.54","-","75.52","1e-8","0","bin57.log"
"Sep 11 2009","2455085.999988426","274363201","53.37","5.20e-8","1.42e-8","-1.54","-","69.36","1e-8","0","bin58.log"
"Sep 18 2009","2455092.999988426","274968001","49.63","4.75e-8","1.34e-8","-1.54","-","63.32","1e-8","0","bin59.log"
"Sep 25 2009","2455099.999988426","275572801","26.37","2.58e-8","1.22e-8","-1.54","-","57.38","1e-8","0","bin60.log"
"Oct 02 2009","2455106.999988426","276177601","12.41","2.03e-8","1.16e-8","-1.54","-","51.54","1e-8","0","bin61.log"
"Oct 09 2009","2455113.999988426","276782401","48.56","4.23e-8","1.37e-8","-1.54","-","45.78","1e-8","0","bin62.log"
"Oct 16 2009","2455120.999988426","277387201","55.1","5.02e-8","1.45e-8","-1.54","-","40.12","1e-8","0","bin63.log"
"Oct 23 2009","2455127.999988426","277992001","63.64","6.10e-8","1.57e-8","-1.54","-","34.57","1e-8","0","bin64.log"
"Oct 30 2009","2455134.999988426","278596801","49.97","4.71e-8","1.36e-8","-1.54","-","29.19","1e-8","0","bin65.log"
"Nov 06 2009","2455141.999988426","279201601","30.8","2.92e-8","1.18e-8","-1.54","-","24.14","1e-8","0","bin66.log"
"Nov 13 2009","2455148.999988426","279806401","24.78","2.81e-8","1.14e-8","-1.54","-","19.76","1e-8","0","bin67.log"
"Nov 20 2009","2455155.999988426","280411201","54.13","3.76e-8","1.25e-8","-1.54","-","16.73","1e-8","0","bin68.log"
"Nov 27 2009","2455162.999988426","281016001","44.18","5.00e-8","1.52e-8","-1.54","-","16.05","1e-8","0","bin69.log"
"Dec 04 2009","2455169.999988426","281620801","28.93","2.93e-8","1.22e-8","-1.54","-","18.19","1e-8","0","bin70.log"
"Dec 11 2009","2455176.999988426","282225601","55.85","4.02e-8","1.34e-8","-1.54","-","22.53","1e-8","0","bin71.log"
"Dec 18 2009","2455183.999988426","282830401","38.42","3.74e-8","1.24e-8","-1.54","-","28.18","1e-8","0","bin72.log"
"Dec 25 2009","2455190.999988426","283435201","25.62","1.75e-8","8.97e-9","-1.54","-","34.58","1e-8","0","bin73.log"
"Jan 01 2010","2455197.999988426","284040001","63.03","5.18e-8","1.37e-8","-1.54","-","41.42","1e-8","0","bin74.log"
"Jan 08 2010","2455204.999988426","284644801","86.72","6.17e-8","1.63e-8","-1.54","-","48.52","1e-8","0","bin75.log"
"Jan 15 2010","2455211.999988426","285249601","42.33","4.40e-8","1.43e-8","-1.54","-","55.77","1e-8","0","bin76.log"
"Jan 22 2010","2455218.999988426","285854401","24.27","2.11e-8","1.03e-8","-1.54","-","63.06","1e-8","0","bin77.log"
"Jan 29 2010","2455225.999988426","286459201","48.93","4.47e-8","1.46e-8","-1.54","-","70.36","1e-8","0","bin78.log"
"Feb 05 2010","2455232.999988426","287064001","45.75","3.47e-8","1.26e-8","-1.54","-","77.61","1e-8","0","bin79.log"
"Feb 12 2010","2455239.999988426","287668801","51.22","4.33e-8","1.34e-8","-1.54","-","84.79","1e-8","0","bin80.log"
"Feb 19 2010","2455246.999988426","288273601","54.06","4.44e-8","1.28e-8","-1.54","-","91.87","1e-8","0","bin81.log"
"Feb 26 2010","2455253.999988426","288878401","83.56","5.76e-8","1.47e-8","-1.54","-","98.86","1e-8","0","bin82.log"
"Mar 05 2010","2455260.999988426","289483201","40.12","3.77e-8","1.28e-8","-1.54","-","105.74","1e-8","0","bin83.log"
"Mar 12 2010","2455267.999988426","290088001","69.15","7.09e-8","1.83e-8","-1.54","-","112.54","1e-8","0","bin84.log"
"Mar 19 2010","2455274.999988426","290692801","76.81","4.61e-8","1.41e-8","-1.54","-","119.25","1e-8","0","bin85.log"
"Mar 26 2010","2455281.999988426","291297601","52.73","4.97e-8","1.59e-8","-1.54","-","125.88","1e-8","0","bin86.log"
"Apr 02 2010","2455288.999988426","291902401","114.36","6.51e-8","1.55e-8","-1.54","-","132.47","1e-8","0","bin87.log"
"Apr 09 2010","2455295.999988426","292507201","59.34","4.01e-8","1.38e-8","-1.54","-","139.02","1e-8","0","bin88.log"
"Apr 16 2010","2455302.999988426","293112001","106.24","7.20e-8","1.62e-8","-1.54","-","145.54","1e-8","0","bin89.log"
"Apr 23 2010","2455309.999988426","293716801","41.91","4.55e-8","1.52e-8","-1.54","-","152.06","1e-8","0","bin90.log"
"Apr 30 2010","2455316.999988426","294321601","68.36","7.07e-8","1.79e-8","-1.54","-","158.57","1e-8","0","bin91.log"
"May 07 2010","2455323.999988426","294926401","72.02","6.07e-8","1.67e-8","-1.54","-","165.03","1e-8","0","bin92.log"
"May 14 2010","2455330.999988426","295531201","60.24","6.01e-8","1.63e-8","-1.54","-","171.18","1e-8","0","bin93.log"
"May 21 2010","2455337.999988426","296136001","81.4","5.35e-8","1.39e-8","-1.54","-","175.23","1e-8","0","bin94.log"
"May 28 2010","2455344.999988426","296740801","33.23","4.47e-8","1.48e-8","-1.54","-","172.08","1e-8","0","bin95.log"
"Jun 04 2010","2455351.999988426","297345601","65.42","4.62e-8","1.34e-8","-1.54","-","165.81","1e-8","0","bin96.log"
"Jun 11 2010","2455358.999988426","297950401","83.88","5.11e-8","1.37e-8","-1.54","-","158.98","1e-8","0","bin97.log"
